,,,,,,,,,,,
,Dados matérias 2016,,,,,,,,,,
,,,,,,,,,,,
,ITEM,TÍTULO DO TEXTO ,DATA,SEÇÃO/EDITORIA,PERFIL DEMOGRÁFICO (VÍTIMA),LOCAL (CIDADE / ESTADO),ESPAÇO,TERMOS ENCONTRADOS ,EIXOS TEMÁTICOS ,TIPOS DE VIOLÊNCIA ,LINK
,1,"""Cirurgia plástica pelo SUS para mulheres"" ",01/01/2016,Brasil ,Mulheres que sofreram lesões por violência ,Brasil,-,"cirurgia plástica; SUS; mulheres; publicação; Diario Oficial da União; lei; oferta; Sistema Único de Saúde; cirurgia plástica reparadora; sequelas;  lesões;  violência contra a mulher; Senado; Comissão de Constituição, Justiça e Cidadania; Câmara dos Deputados; sanção presidencial; hospitais;  centros de saúde pública; vítimas; violência; acesso gratuito; cirurgia plástica; reparação das lesões ou sequelas; agressão comprovada; mulher; vítima de violência grave; profissional de medicina; mulheres; vitimadas; direitos",objetificação da mulher (sentimento de posse ou controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurídico ,violência física; violência sexual,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/cirurgia-plastica-pelo-sus-para-mulheres.html
,2,"""Prefeita morta ao assumir cargo""",04/01/2016,Brasil ,"Gisela Mota, de 33 anos, prefeita de Temixco, no México","Temixco, MEX",Residência ,Prefeita; morta; assumir; cargo; comando armado; assassinato; povoado; estado mexicano; fortemente afetado pelo crime; autoridades locais; atentado; Partido da Revolução Democrática; de esquerda; assassinato;  “desafio da criminalidade”; suspeito; crime; assassinada; queima-roupa;  vários indivíduos armados; bando; invadiu;  casa; abriu fogo; alto índice de criminalidade; grupos criminosos;  tráfico de drogas; sequestro; extorsão; cartel,hibridismo entre o discurso jornalístico e o policial/jurídico,violência física; violência letal,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/prefeita-morta-ao-assumir-cargo.html
,3,"""Guia de estupro é retirado do ar""",06/01/2016,Brasil ,Estudantes da Universidade Federal do Ceará,"Fortaleza, CE",internet,"vergonha; guia; estupro; retirado do ar; Universidade Federal do Ceará; repudiou; site; criado para estimular o estupro; alunas; curso de Direito; crime; punido; lei; site; retirado do ar; mensagens ofensivas;  típica estudante de Direito; ""vadia patricinha""; vagabunda; sentada; banco de faculdade",objetificação da mulher (sentimento de posse ou controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurídico,violência psicólogica; violência moral; violência simbólica  ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/guia-de-estupro-e-retirado-do-ar.html
,4,"""Perseguição e morte na Avenida Boa Viagem""",08/01/2016,Local,Psicóloga de nome não revelado que teve o carro atingido por veículo roubado ,"Recife, PE",Rua,"Perseguição; morte; avenida; tentativa; assalto; tiros; morte; perseguição policial; tiroteio; engavetamento; prisão; suspeito; morto; aterrorizou; moradores; transeuntes; vias; testemunhas; polícia militar; perito; chegava em casa; filhos; abordado; suspeitos armados; reagiu; policial; luta corporal; bandidos; atirou; balas; pinaram; tiros não eclodiram; disparo; acertou; filhos; perito; nádegas; vítima; hemorragia; estado grave; UPA; suspeitos; fugiram; perseguição; troca de tiros; policiais; bandidos; perdeu o controle do carro; colidiu; veículo; psicológa; ""nasci de novo""; tiros; polícia; conseguiu deter; arma; suspeito; Departamento de Homicídios e Proteção à Pessoa; autuado em flagrante;. tentativa de latrocínio; esposa; filhos; delegado; perícia; investigações preliminares ",hibridismo entre o discurso jornalístico e o policial/jurídico,violência física; violência psicológica; violência patrimonial ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/vidaurbana/2016/01/perseguicao-e-morte-na-avenida-boa-viagem.html
,5,"""Novo alerta na Europa""",09/01/2016,Capa,Mulheres que foram vítimas de crimes sexuais ,Europa,Não fica claro ,alerta; Europa; crime incomuns; relatos; crimes sexuais; supostamente cometidos por estrangeiros; discutir; políticas; continente,objetificação da mulher (sentimento de posse e controle sobre o corpo feminino),violência sexual,http://www.impresso.diariodepernambuco.com.br/capas/2016/01/capa-09-01.html
,6,"""Medo após abusos em série""",09/01/2016,Mundo ,Mulheres que foram vítimas de crimes sexuais ,Diversas cidades da Europa,Não fica claro ,medo; abusos em série; relatos; crimes sexuais; migrantes; cidades da Europa; autoridades; temem resposta xenófoba; policial; artista; pede respeito; mulheres; supostamente cometidos por estrangeiros;  denúncias; vítimas; testemunhas; agressores; grupos; homens; origem árabe ou norte-africana; ataques; resposta xenófoba; imigrantes; refugiados; chanceler; chefe de governo; penas severas; intolerável; sistema de justiça; crime organizado; prisão; deportados; suspeitos; identificados; polícia; estrangeiros; jovens; marroquino; tunisiano; detidos; relação com os crime; libertados; falta de provas ,objetificação da mulher (sentimento de posse e controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurídico ,violência sexual,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/medo-apos-abusos-em-serie.html
,7,"""Queixas se multiplicam""",09/01/2016,Mundo ,Mulheres que foram vítimas de crimes sexuais ,Diversas cidades da Europa,Estação de metrô,"queixas se multiplicam; registradas; polícia; vítimas; assediadas; estação de metrô; mulheres; cercadas; assediadas; apertos; beijos; puxões; roubados celulares, carteiras e bolsas; sírios; presos; suspeitos; estuprarem; duas adolescentes; réveillon;  polícia sueca; confirmou; mulheres; agressões sexuais; iraquianos; requerentes de asilo; detidos; suspeitos; crimes semelhantes",objetificação da mulher (sentimento de posse e controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurídico; moralização dos relatos ,violência sexual; violência física; violência patrimonial ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/queixas-se-multiplicam.html
,8,"""Sem piedade, jihadista mata a própria mãe""",09/01/2016,Mundo ,"Leena Al-Qasem, 45 anos, assassinada pelo filho","Raqqa, Síria ",Praça ,piedade; jihadista; mata; mãe; matricídio; mãe; executada; presa; estado islâmico; acusação; apostasia; acusação de apostasia; renúncia; crença religiosa; praça; capital ; califado islâmico; filho; matou; mãe; tiro; cabeça ; massacrada; assassinasse; mãe; moradores; presenciaram a execução; apóstata; muçulmano;  facção; sírio; condenaram; Facebook; Estado Islâmico; executou; mais de 2 mil pessoas; prática da homossexualidade; mágica; apostasia ,hibridismo entre o discurso jornalístico e o policial/jurídico; moralização dos relatos ,violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/sem-piedade-jihadista-mata-a-propria-mae.html
,9,"""Morte na Cidade de Deus""",09/01/2016,Brasil ,Jovem de 18 anos de nome não revelado,"Rio de Janeiro, RJ",Bar,morte; execução; confronto; milicianos; traficantes; mortos; ferido; conflito; provocado; criminosos; invadido; habitacional;  polícia; baleados; bar; não resistiram;  jovem; baleada; mão; socorrida;  Unidade de Pronto Atendimento; passa bem; três vítimas fatais,hibridismo entre o discurso jornalístico e o policial/jurídico,violência física; violência urbana; violência letal ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/morte-na-cidade-de-deus.html
,10,Mulher morta por usar redes sociais,12/01/2016,Local ,"Flávia Maria do Nascimento, 33 anos, dona de casa","Olinda, PE",Residência ,"mulher; morta; usar redes sociais; principal suspeito; marido; vítima; esquartejada; crime; motivado; ter usado o Facebook; consentimento; ""não tinha autorização do marido para usar as redes sociais""; marido; corpo encontrado; casa; esquartejada; partes do corpo;  espalhadas em três sacos plásticos pretos; suspeito; foragido; crime; requintes de crueldade; família; vítima; nunca suspeitou; agressões anteriores; morte; apertando o pescoço; casa; filhos; ciúmes; delegada; intimar testemunhas; crime; suspeito; fugiu; investigações; faca tipo serra;  foice; vítima; morte; corte no abdômen;  asfixia; perícia; IML; violência contra a mulher; homicídios; mulheres pernambucanas; assassinadas; Mapa da Violência; queda; homicídios; promulgação;  Lei Maria da Penha; matam; mulheres; arma de fogo; arma branca; objetos cortantes; estrangulamento; casa; via pública; agride; mulheres; cônjuge; ex-cônjuge; países; violentos; mulheres ",hibridismo entre o discurso jornalístico e o policial/jurídico; objetificação da mulher (sentimento de posse e controle sobre o corpo feminino); moralização dos relatos ,violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/vidaurbana/2016/01/mulher-morta-por-usar-redes-sociais.html
,11,Vida da mulher fiscalizada na internet,12/01/2016,Local ,mulheres que têm suas atividades nas redes sociais fiscalizadas pelos companheiros ,-,internet,vida; mulher; fiscalizada; internet; ciúme; provocado; redes sociais; problemas; transtornos mentais; machismo; uso; Facebook; whatsapp; aumento no número de divórcios; processos; separações; casais; fim de relacionamento; acesso À tecnologia; facilita comportamentos inadequados; tentação; trair; parceiros; fiscalizar; impedir de sair com amigos; usar determinados tipos de roupa; ciúme; evento gatilho; fiscalização da vida da mulher nas redes; atualização de atitudes machistas; atitudes extremas; cruéis; tentativa de controle ,objetificação da mulher (sentimento de posse e controle sobre o corpo feminino),violência doméstica e intrafamiliar; violência simbólica; violência psicológica ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/vidaurbana/2016/01/vida-da-mulher-fiscalizada-na-internet.html
,12,"""A terceira vida""",13/01/2016,Capa,"Maria da Conceição, 42 anos, atropelada por um ônibus","Recife, PE",Rua,vida; Diario; história; mulher; saiu andando; atropelada; ônibus; vídeo; viralizou; internet; sobrevivente,-,violência física; violência urbana ,http://www.impresso.diariodepernambuco.com.br/capas/2016/01/capa-13-01.html
,13,"""Conceição, a sobrevivente""",13/01/2016,Local,"Maria da Conceição Silva, 42 anos, diarista atropelada por um ônibus","Recife, PE",Rua,sobrevivente; escapa por pouco da morte; filha; mulher; 18 filhos; pobreza; ônibus desgovernado; diarista; atropelada; chegava para trabalhar; câmeras de segurança; condomínio; carro; ônibus; colidiram; ônibus subiu calçada; atingiu a vítima; doméstica; obrigada; deixar escola; trabalho na infância; criar quatro filhos; internada; hospital; magoada; companheiro; desempregado; corpo; ferido; pontos no braço e na cabeça; ratura exposta;  pé esquerdo; milagre; pobreza familiar; filhos; processar; empresa de ônibus,-,violência física; violência urbana ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/ultimas/2016/01/conceicao-a-sobrevivente.html
,14,"""Grávida estuprada e morta""",13/01/2016,Mundo ," Priscila Franco Silva, de 26 anos, comerciante ","Puerto Quijarro, Bolívia",Não fica claro ,Brasileira; grávida; estuprada; morta; comerciante; violentada; morta; cidade; fonrteira; Brasil;  viajado;  grupo de sacoleiras; comprar roupas; crime; corpo; espera; providências; família , hibridismo entre o discurso jornalístico e o policial/jurídico ,violência física; violência sexual; violência letal; violência urbana ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/mundo/2016/01/gravida-estuprada-e-morta.html
,15,"""Suspeito de estupro é procurado""",14/01/2016,Local ,Mulher de 30 anos prestadora de serviço do Instituto Chico Mendes de Conservação da Biodiversidade (ICM-Bio) ,"Fernando de Noronha, PE",Praia,suspeito; estupro; crime; Fernando de Noronha; Polícia Civil; retrato falado; praia; homem; suspeito; estuprar; mulher; agressor; abordado; vítima; trabalha no arquipélago; moto vermelha e preta;  abuso sexual; espancamento; praia; vítima; festa; abordada; desconhecido; turistas; moradoras; arquipélago; protesto; Delegacia de Noronha; “Machismo mata”; “Não à violência contra a mulher; grupo; firmeza; investigações; vítima; boletim de ocorrência; Delegacia da Mulher; mulher; sofreu; violência sexual; Secretaria da Mulher; delegado; caso ,Objetificação da mulher (sentimento de posse e controle sobre o corpo feminino); moralização dos relatos ,violência física; violência sexual ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/vidaurbana/2016/01/suspeito-de-estupro-e-procurado.html
,16,"""Preso no Recife suspeito de estuprar bióloga""",16/01/2016,Capa,"Mulher de 30 anos, bióloga, prestadora de serviço do Instituto Chico Mendes de Conservação da Biodiversidade (ICM-Bio) e Flávia Maria do Nascimento, 33 anos, dona de casa","Fernando de Noronha, PE",Praia,preso; Recife; suspeito; estuprar; bióloga; acusado; capturado; suspeito; esquartejar,Objetificação da mulher (sentimento de posse e controle sobre o corpo feminino),violência física; violência sexual; violência letal,http://www.impresso.diariodepernambuco.com.br/capas/2016/01/capa-16-01.html
,17,"""Polícia prende suspeito de abuso""",16/01/2016,Local ,"Mulher de 30 anos, bióloga, prestadora de serviço do Instituto Chico Mendes de Conservação da Biodiversidade (ICM-Bio) ","Fernando de Noronha, PE",Praia,Polícia; prende; suspeito; abuso; cozinheiro; teria violentado; bióloga; Fernando de Noronha; capturado; investigações; caso; violência sexual; repercussão; suspeito; estuprar; preso; cumpriu mandado de prisão; Justiça; prisão; divulgação; retrato falado; descrição; vítima; trabalhava; Instituto Chico Mendes de Conservação da Biodiversidade; denunciou; espancada; violentada;  voltava de uma festa; homem; moto; praia; cometeu o crime; Delegacia de Fernando de Noronha; delegado; prisão; policiais civis; Departamento de Polícia da Mulher e da Diretoria Integrada Especializada; entrevista coletiva; protestos; manifestantes; agilidade nas investigações,Objetificação da mulher (sentimento de posse e controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurídico ,violência física; violência sexual,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/vidaurbana/2016/01/policia-prende-suspeito-de-abuso.html
,18,"""Homem assassinado e menina baleada em ataque no Ibura""",16/01/2016,Local ,Menina de 12 ferida a tiros ,"Recife, PE",Não fica claro ,Homem; assassinado; menina; baleada; ataque; homem; morto; menina; ferida; tiros; duas pessoas;  chegaram em uma moto; objetivo; executar; atingindo; garota; baleada; costas; crime; motivação; esclarecida; Policiais;  19º Batalhão de Polícia Militar; jovem; sem vida,hibridismo entre o discurso jornalístico e o policial/jurídico ,violência física (Contra menor); violência urbana (contra menor),http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/vidaurbana/2016/01/homem-assassinado-e-menina-baleada-em-ataque-no-ibura.html
,19,"""Marido que esquartejou esposa em Olinda está preso no Cotel""",16/01/2016,Local ,"Flávia Maria do Nascimento, 33 anos, dona de casa","Olinda, PE",Residência ,marido; esquartejou; esposa; preso; Cotel; suspeito; matar; esquartejar; esposa; crise de ciúmes; aberto uma conta no Facebook; crime; corpo depositado em três sacos plásticos;   descobertos; polícia; suspeito;  não teve identidade revelada; ,hibridismo entre o discurso jornalístico e o policial/jurídico; objetificação da mulher (sentimento de posse e controle sobre o corpo feminino),violência doméstica e intrafamiliar; violência física; violência letal; violência simbólica ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/vidaurbana/2016/01/marido-que-esquartejou-esposa-em-olinda-esta-preso-no-cotel.html
,20,"""Estupros em parque paulistano""
",19/01/2016,Brasil ,"Duas adolescentes, uma de 16 e outra de 18 anos","São Paulo, SP",Parque ,rolezinho; estupros; parque; jovens; estupradas; Parque do Ibirapuera; meninas; caso; evento marcado por adolescentes nas redes sociais; casos; investigados; 6º Distrito Policial; atos; violência; prefeitura; festa; “troca de beijo e pegação”; organizadores,objetificação da mulher (sentimento de posse e controle sobre o corpo feminino),violência sexual (contra menor); violência física (Contra menor) ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/estupros-em-parque-paulistano.html
,21,"""Refugiadas sofrem violência sexual""",19/01/2016,Mundo ,mulheres imigrantes que sofrem diversas violências ,Europa,não fica claro ,refugiadas; sofrem; violência; migrantes; cometido abusos; mulheres; reveillon; mundo; se chocar;  mulheres; meninas; refugiadas;  fogem para a Europa;  alvo de violência sexual; assédio; exploração; denuncia; relatório; Anistia Internacional; violência; agressões; exploração; assédio sexual; viagem; território europeu; traficantes; refugiados; imigrantes; maus tratos físicos; exploração econômica; vulneráveis; disputas religiosas e políticas; perseguições; Estado Islâmico ,objetificação da mulher (sentimento de posse e controle sobre o corpo feminino,violência sexual; violência física,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/refugiadas-sofrem-violencia-sexual.html
,22,"""Vara da Mulher nasce com sete mil processos""",19/01/2016,Local,mulheres pernambucanas que sofrem violência doméstica e intrafamiliar ,Pernambuco,Residência ,Vara da Mulher; Tribunal de Justiça de Pernambuco; número; processos; aumenta; 1ª e 2ª Varas de Violência Doméstica e Familiar Contra a Mulher da Capital; celeridade; julgamento; violência contra a mulher; varas criminais; violência; desestimular agressores; Fórum Rodolfo Aureliano; Juíza; defensoria pública; psicólogos; assistentes sociais; mulheres agredidas; delegacia; ,objetificação da mulher (sentimento de posse e controle sobre o corpo feminino; hibridismo entre o discurso jornalístico e o policial/jurídico ,violência doméstica e intrafamiliar,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/vidaurbana/2016/01/vara-da-mulher-nasce-com-sete-mil-processos.html
,23,"""Suspeito de estupro forçou demissão""",19/01/2016,Local,"Mulher de 30 anos, bióloga, prestadora de serviço do Instituto Chico Mendes de Conservação da Biodiversidade (ICM-Bio) ","Fernando de Noronha, PE",Praia,suspeito; estupro; forçou demissão; polícia civil; entrevista coletiva; cozinheiro; suspeito; estuprar; bióloga; bêbado; atrasado; hotel onde trabalhava; para ser demitido; se retirar da ilha; preso; crime,objetificação da mulher (sentimento de posse e controle sobre o corpo feminino); hibridismo entre o discurso jornalístico e o policial/jurídico ,violência sexual; violência física,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/vidaurbana/2016/01/suspeito-de-estupro-forcou-demissao.html
,24,R$ 5 mil por informações sobre assassino,19/01/2016,Local,"Beatriz Angélica Mota, de 7 anos ","Petrolina, PE",Escola,menina morta; informações; assassino; Disque-Denúncia; recompensa; informações;  prisão; suspeitos; assasinato; menina; festa; escola; criança; golpes de faca; corpo encontrado;  sala de material esportivo,hibridismo entre o discurso jornalístico e o policial/jurídico,violência física (contra menor); violência letal (contra menor),http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/vidaurbana/2016/01/r-5-mil-por-informacoes-sobre-assassino.html
,25,"Estupros suspendem ""rolezinhos""",22/01/2016,Brasil ,"Duas adolescentes, uma de 16 e outra de 18 anos","São Paulo, SP",Parque ,estupros; suspendem; rolezinhos; jovens; Parque do Ibirapuera; rolezinhos; redes sociais; suspensos; medida; reunião; Prefeitura de São Paulo; prefeito; dobrará o efetivo de guardas-civis; fins de semana; parque,objetificação da mulher (sentimento de posse e controle sobre o corpo feminino; hibridismo entre o discurso jornalístico e o policial/jurídico ,violência sexual (contra menor); violência física (Contra menor) ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/estupros-suspendem-rolezinhos.html
,26,"""ONU envolvida em abusos sexuais""",30/01/2016,Mundo  ,"Menina de 9 anos, e quatro adolescentes entre 14 e 16 anos",República Centro-Africana,Não fica claro ,ONU; envolvida; abusos sexuais; soldados das forças de paz; ONU; abordaram; menina;  ofereceram; garota; garrafa d'água; pacote de biscoitos; em troca de sexo oral; jovens; abusadas; militares; proteção; denunciaram; estupro; relataram ter sido pagas;  manterem relações sexuais com os europeus; acusações extremamente graves; investigações; equipe das Nações Unidas; entrevistou; crianças; vítimas; abusos sexuais; estupradores; continente europeu; fim da impunidade; punição; agressores,objetificação da mulher (sentimento de posse e controle sobre o corpo feminino; moralização dos relatos ,violência sexual (contra menor); violência física (Contra menor) ,http://www.impresso.diariodepernambuco.com.br/noticia/cadernos/brasil/2016/01/onu-envolvida-em-abusos-sexuais.html
